project id,Task_Name,work_time by project size,broj operatera
347kO8vj7X,Ground Floor,0.002908823,1
347kO8vj7X,Second Floor,0.00816708,1
3axCOOrlSE,Ground Floor,0.022994442,2
3sPKDEZOf9,First Floor,0.006526713,2
3sPKDEZOf9,Ground Floor,0.007994258,2
47FDVmmNiI,Ground Floor,0.002057023,1
4PKCUOIPzN,Ground Floor,0.009404162,1
4c00HjiYsR,Ground Floor,0.005057416,1
5mixF1JgVb,Ground Floor,0.005396147,3
5viTeO254r,Ground Floor,0.003559049,1
6YphpRxvE3,Ground Floor,0.00771231,2
8JJFwXoLpL,Ground Floor,0.006173199,1
8KTWHJ2fal,Ground Floor,0.002856509,1
8KTWHJ2fal,Second Floor,0.002547206,1
8oHVF7h31k,Ground Floor,0.002906963,1
8oHVF7h31k,Second Floor,0.004324993,2
90KIwNKUvv,Ground Floor,0.004952481,1
9L2oPqIEod,Ground Floor,0.005428335,1
9sKFu8BKHj,Ground Floor,0.027030243,4
A0jMyT0kkH,Ground Floor,0.021457371,3
A4aN8DGUfo,Ground Floor,0.003536541,1
B2WLtRUAOU,Ground Floor,0.009342467,2
BHKa9Vb55H,Basement,0.003664086,1
BHKa9Vb55H,First Floor,0.00693451,1
BHenA5dW8D,Ground Floor,0.010725269,2
BS4BzvMClR,Ground Floor,0.003035963,1
Bgb3ajTUIU,Basement,0.000987662,2
Bgb3ajTUIU,Ground Floor,0.010911318,1
CZYx6FxilE,Ground Floor,0.02030794,1
DHXMANe4YC,Basement,0.002335186,2
DHXMANe4YC,First Floor,0.01320492,3
DHXMANe4YC,Ground Floor,0.003697378,2
DHXMANe4YC,Second Floor,0.003419379,3
DHXMANe4YC,Third Floor,0.006171563,2
DNecVzJYHg,First Floor,0.004980492,4
DNecVzJYHg,Ground Floor,0.00899462,3
F4R9IVDLuv,First Floor,0.000161557,1
FWw3BWp2XD,Ground Floor,0.002787812,1
FWw3BWp2XD,Second Floor,0.00448115,1
GOWpomgZRl,First Floor,6.33E-05,1
GOWpomgZRl,Ground Floor,0.008254282,2
GOWpomgZRl,Second Floor,0.004269456,2
GQ6XfzyoVV,First Floor,0.002457807,2
GQ6XfzyoVV,Ground Floor,0.007870835,3
HOmh8xguwZ,Ground Floor,0.007104406,1
HOmh8xguwZ,Second Floor,0.007322332,1
I1WKiHb3sv,Ground Floor,0.006673286,1
IFACNNQMQ1,Basement,0.002068731,1
IFACNNQMQ1,First Floor,0.004059396,1
IFACNNQMQ1,Ground Floor,0.005074245,1
JNVYnaVRsp,First Floor,0.00301657,1
JNVYnaVRsp,Ground Floor,0.010068822,1
KKryhhE2gy,First Floor,0.003874347,1
KKryhhE2gy,Second Floor,0.003874347,1
KaQvuJKE7J,Ground Floor,0.00857656,1
LGB7smMulx,Ground Floor,0.014018019,1
N9fJdBUfyb,Ground Floor,0.012065888,2
ND613TCbyn,Ground Floor,0.008033875,1
OcoWwsm54i,Ground Floor,0.008144015,1
Piv2BAVBjb,Basement,0.00415046,1
PpgyK99KCp,Ground Floor,0.000478499,1
QAyf5DdeQx,First Floor,0.001898469,1
QAyf5DdeQx,Ground Floor,0.009513438,2
Rq1GYMOulj,Ground Floor,0.004796035,2
SaYe2jfvm1,Ground Floor,0.007788399,1
TGcsI3ITMY,Basement,0.012875456,1
TGcsI3ITMY,Ground Floor,0.011677739,1
TGcsI3ITMY,Second Floor,0.005749041,1
Tr02JwZjhy,Basement,0.002069519,2
Tr02JwZjhy,Ground Floor,0.003621659,2
Tr02JwZjhy,Second Floor,0.002457554,1
U3kOUVhX4u,Ground Floor,0.017238286,2
U3kOUVhX4u,Second Floor,0.001849602,1
UEBl7EdDZ9,Ground Floor,0.003635653,1
UEBl7EdDZ9,Second Floor,0.004232127,1
VDKHk5vrkl,Ground Floor,0.018601731,4
VPq8iKMsqe,Ground Floor,0.006824455,1
WOg3c6F2qb,Ground Floor,0.000262738,1
WOg3c6F2qb,Second Floor,0.001642111,1
WVoV8iCOvj,Ground Floor,0.00902851,2
Wov4xNpA7T,Ground Floor,0.005133011,1
Wt3qHm77HF,First Floor,0.002626375,1
Wt3qHm77HF,Ground Floor,0.002789251,2
Xekqt4Riib,Ground Floor,0.016108723,1
Xo9Cmm38zb,Basement,0,1
Zrujj6xMaq,Ground Floor,0.0049731,2
Zrujj6xMaq,Second Floor,0.003876093,1
aL0ST7jF64,Ground Floor,0.008221045,2
aX6GAcHASd,First Floor,0.00766764,2
aX6GAcHASd,Ground Floor,0.000685376,1
aX6GAcHASd,Second Floor,0.00436927,1
ah6hOmGxWb,Ground Floor,6.98E-05,1
bdKIlE1BnH,Ground Floor,0.004564614,1
bvdd8e6v4G,First Floor,0.005096069,1
bvdd8e6v4G,Second Floor,0.003749937,1
dSxP3wkcnC,First Floor,0.004883752,1
dSxP3wkcnC,Ground Floor,0.002717276,1
df3blK7xCK,Basement,0.004148159,2
df3blK7xCK,First Floor,0.00025926,1
df3blK7xCK,Ground Floor,0.010037062,2
df3blK7xCK,Second Floor,0.003333342,1
eV1GNUy2Ap,Ground Floor,0.006907287,1
fTIBWOjS72,First Floor,0.000572023,1
fTIBWOjS72,Ground Floor,0.000120426,1
g8kcrWKlGL,Ground Floor,0.003948191,1
gBC76gPy7m,Basement,0.000712535,1
gBC76gPy7m,Ground Floor,0.003806436,1
gBC76gPy7m,Second Floor,0.002850139,1
hS1Alp29rA,Ground Floor,0.003158314,1
hS1Alp29rA,Second Floor,0.002699849,2
i4ElfNu4I4,First Floor,0.006679331,2
i4ElfNu4I4,Ground Floor,0.000420084,1
i5YJEliGqt,Ground Floor,0.004468363,1
iW1zEits8l,Ground Floor,0.005185013,1
ibAALs4Kib,Ground Floor,0.009080613,1
j2Soc3UXMe,Ground Floor,0.006366144,2
k69fpLinYU,Ground Floor,0.007802377,1
kL2NhZZs10,Ground Floor,0.009332548,3
kL2NhZZs10,Second Floor,0.009213206,3
kbG28DWnEl,Basement,0.001627901,1
kbG28DWnEl,First Floor,0.005554014,1
kbG28DWnEl,Ground Floor,9.58E-05,1
kbG28DWnEl,Second Floor,0.005218858,1
kugsNJGHM0,Ground Floor,0.000365033,1
lonfQAhonh,Ground Floor,0.005141854,1
lzV1KUQn8T,Ground Floor,0.01342809,2
mEGSpytwgC,First Floor,0.003394171,3
mEGSpytwgC,Ground Floor,0.005043675,2
mEGSpytwgC,Second Floor,0.003521056,1
orFAnXZYab,Ground Floor,0.006042141,1
peBlph5jGD,Ground Floor,0.003786703,1
peBlph5jGD,Second Floor,0.002869611,2
qKZnOoSVms,Ground Floor,0.007094667,1
qhSxF8W44i,First Floor,0.006517116,1
rMjbwe6TAt,First Floor,0.003135096,1
rMjbwe6TAt,Second Floor,0.008681805,1
rlnnUh0s4B,First Floor,0.005110034,2
rlnnUh0s4B,Second Floor,0.002279039,2
tdNQLbe1QH,Basement,0.001400193,1
tdNQLbe1QH,Ground Floor,0.002828112,1
tdNQLbe1QH,Second Floor,0.002883103,1
u5CdlhYtYG,Ground Floor,0.006942807,2
v5LZ5huEJh,Basement,0.002090396,1
v5LZ5huEJh,First Floor,0.010317117,2
v5LZ5huEJh,Ground Floor,0.001955532,1
vNzsv601Hq,Ground Floor,0.005281822,2
vvyDUPQrs3,Ground Floor,0.000591872,1
xRuPReL1Oj,Ground Floor,0.00536064,2
y9inaGnzv3,Ground Floor,0.005450343,1
yRnwMray1A,Basement,0.006589706,1
yRnwMray1A,Ground Floor,0.006922519,1
